X,Y
536697.6397,3950766.013
536121.6581,3950889.759
536185.3346,3951092.876
537239.3773,3950757.428
535570.6763,3950840.572
536648.8008,3950826.851
536625.9633,3949322.789
537164.2283,3950680.344
537306.4094,3950170.441
537087.1784,3950631.328
536721.475,3951279.282
537493.7695,3950023.246
535115.5034,3950789.342
535538.0251,3949770.333
536691.5373,3951961.773
535446.7377,3951889.994
537565.6547,3951621.168
537487.4586,3950108.299
537479.9734,3950309.213
537505.4865,3949320.324
537725.9899,3949184.762
538164.0319,3951810.958
537628.1274,3952106.533
538064.4308,3951765.231
537374.4395,3951971.326
537964.1153,3952448.835
538070.9085,3951818.294
537719.1784,3952465.969
537982.9777,3950043.713
537852.4611,3952207.932
536244.0585,3953131.879
537976.3684,3948355.356
538173.6672,3948463.709
539136.5614,3950223.642
538153.0082,3949967.478
537966.4007,3948264.627
537693.4228,3949327.342
538164.5425,3951815.359
536832.2004,3953404.372
538178.5557,3952131.83
537615.9143,3952812.445
538128.8246,3948115.008
537598.4236,3953134.453
536382.5724,3953498.421
538828.9965,3951023.344
538626.8347,3951054.312
538738.529,3949614.165
533784.1409,3951798.127
537978.616,3948031.987
536408.4481,3954306.908
536738.211,3954415.014
537920.095,3954402.196
538055.9221,3948094.451
538825.0985,3953339.019
537145.6457,3954763.925
531892.9586,3951433.548
539399.6015,3948805.383
537510.8413,3954159.318
537454.6208,3954368.079
536026.8195,3946420.711
531681.1772,3951435.92
540222.2888,3953660.464
539581.8943,3954017.156
534578.4878,3954965.952
535973.6304,3955665.848
533705.3896,3954447.048
534991.2212,3955582.539
539383.0518,3954998.635
539115.7134,3955182.925
534397.897,3956453.233
537472.4626,3955615.273
537803.2271,3956203.205
537795.1902,3956783.914
537970.8152,3956786.052
535833.252,3956567.098
537474.6226,3957085.782
537242.0476,3957019.401
533834.6931,3956629.395
537577.276,3957171.619
536033.4296,3957040.374
539061.4109,3956509.506
535782.9566,3957515.834
534599.2897,3956782.563
534250.3157,3957072.328
539043.4729,3956554.789
536875.7778,3957489.043
534637.5029,3957084.529
542453.6686,3954698.58
534359.8641,3958136.702
537046.6223,3957297.765
528619.8973,3951399.6
530544.6546,3954962.611
538920.3858,3957439.389
535837.8977,3958142.592
534723.2301,3957836.378
535344.332,3958743.623
528429.6814,3952508.54
540915.3348,3956018.496
539428.3202,3958152.07
530093.3164,3955497.123
